tweeted,feed_date,feed_weekday,archive_url,title,mp3_url,synopsis,broadcast_date,physical_format,duration,digital_format,ownership,language,program_sponsor,broadcast_datetime,broadcast_year,broadcast_month,broadcast_monthday,has_mp3_url,mp3_path,feed_url
x,2020-12-12,7,/programs/interviewing-shel-silverstein,Interviewing Shel Silverstein,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F40605.mp3,,"Dec. 12, 1963",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"1 hour, 7 seconds",WAV,The Chicago History Museum,English,,1963-12-12,1963.0,12.0,12.0,True,mp3/40605.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/40605.mp3
x,2020-12-17,5,/programs/dick-gregory-discusses-american-politics,Dick Gregory discusses American politics,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F56417.mp3,"This interview begins with a clip of one of Dick Gregory’s performances, where he talks about nonviolence and Native Americans. Studs Terkel introduces his guest as an observer, explaining that comedians are the best observers in society. Gregory offers extended analogies to communicate his views on a variety of topics, including the Vietnam War, race relations, segregation, human rights, and urban renewal.
[The date is unclear, but it has to be after 1970, since the Kent State Shootings were mentioned]","Dec. 17, 1964",1 sound tape reel (ca. 58.15 min.) : 10 1/2 in.,"50 minutes, 36 seconds",WAV,The Chicago History Museum,English,,1964-12-17,1964.0,12.0,17.0,True,mp3/56417.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56417.mp3
x,2020-12-19,7,/programs/teacher-vivian-cadbury-and-lane-technical-high-school-students-read-and-discuss-cadbury,"Teacher Vivian Cadbury and Lane Technical High School students read and discuss ""Cadbury Tales""",https://s3.amazonaws.com/wfmt-studs-terkel/published/6537.mp3,"Discussing ""Cadbury tales,"" about teacher Vivian Cadbury, with students from Lane Technical High School in Chicago.","Dec. 19, 1978",1 sound tape reel (ca. 37 min.) : 10 1/2 in.,"37 minutes, 9 seconds",WAV,The Chicago History Museum,English,,1978-12-19,1978.0,12.0,19.0,True,mp3/6537.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/6537.mp3
x,2020-12-27,1,/programs/milton-mayer-discusses-quakerism-and-impact-they-have-had-society,Milton Mayer discusses Quakerism and the impact they have had on society,https://s3.amazonaws.com/wfmt-studs-terkel/published/10904.mp3,"Milton Mayer, journalist and educator, talks with Studs about Quakerism.  They talk about how religion relates to society in the times of change.
Mr Mayer describes an exchange with a gentleman who asked what is a Quaker.  The man had been an SS officer who told Mr Mayer his story.  The man had been touched by the anonymous generosity of the Quakers many years before.   
Mr Mayer speaks of A. J. Musty, clergyman and political activist as his mentor and friend, and the things he learned from him.","Dec. 27, 1974",1 sound tape reel (ca. 54.14 min.) : 10 1/2 in.,"54 minutes, 47 seconds",WAV,The Chicago History Museum,English,,1974-12-27,1974.0,12.0,27.0,True,mp3/10904.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/10904.mp3
x,2020-12-31,5,/programs/saul-alinsky-american-community-organizer-political-activist-and-writer-discusses-his-book,"Saul Alinsky, American community organizer, political activist, and writer discusses his book ""Rules for Radicals"" with Studs Terkel",https://s3.amazonaws.com/wfmt-studs-terkel/published/2158.mp3,"Community organizer and social activist, Saul Alinsky speaks about his newest book, ""Rules for Radicals,"" and reminisces about his work in the Back of the Yards neighborhood, his advocacy for African-American labor rights, and his connection with the Mexican-American civil rights movement in California. Although Studs' introduction states that this is a rebroadcast of a 1962 interview, that is incorrect. The interview was recorded in 1971.",1971,1 sound tape reel (ca. 61 min.) : 10 1/2 in. Edited copy-T2625.,"57 minutes, 2 seconds",WAV,The Chicago History Museum,English,,,,,,True,mp3/2158.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/2158.mp3
x,2021-01-01,6,/programs/panel-women-recipients-discuss-being-welfare-recipients-chicago,Panel of women recipients discuss being welfare recipients in Chicago,https://s3.amazonaws.com/wfmt-studs-terkel/published/5942.mp3,A panel of women discuss raising their families while getting welfare assistance and living in poverty in Chicago.,"Jan. 1, 1969",1 sound tape reel (ca. 58 min.) : 7 in.,"54 minutes, 36 seconds",WAV,The Chicago History Museum,English,,1969-01-01,1969.0,1.0,1.0,True,mp3/5942.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/5942.mp3
x,2021-01-03,1,/programs/gwendolyn-brooks-discusses-her-poetry,Gwendolyn Brooks discusses her poetry,https://wfmt-studs-terkel.s3.amazonaws.com/published/33494.mp3,"Gwendolyn Brooks, Poet Laureate of Illinois, talks about her poetry, her books, and some of her influences.","Jan. 3, 1961","1 sound tape reel (ca. 52.30 min.) : 10 1/2 in. Original program-T2102A., 1 sound tape reel (ca. 53.15 min.) : 10 1/2 in. Edited copy-T2102B., 1 sound tape reel (ca. 55.13 min.) : 7 in.","21 minutes, 51 seconds",WAV,The Chicago History Museum,English,,1961-01-03,1961.0,1.0,3.0,True,mp3/33494.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/33494.mp3
x,2021-01-09,7,/programs/discussing-documentary-film-shoah-director-claude-lanzmann,"Discussing the documentary film ""Shoah,"" with the director Claude Lanzmann",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F32660.mp3,"In making this film, Lanzmann interviewed death-camp survivors and Nazi functionaries.","Jan. 9, 1986",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"51 minutes, 53 seconds",WAV,The Chicago History Museum,English,,1986-01-09,1986.0,1.0,9.0,True,mp3/32660.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/32660.mp3
x,2021-01-11,2,/programs/newton-minow-discusses-broadcasting,Newton Minow discusses broadcasting,https://s3.amazonaws.com/wfmt-studs-terkel/published/11142.mp3,"Interviewing Newton Minow, Chicago lawyer and chairman of the Federal Communications Commission.  He discusses broadcasting as a public service and spends a great deal of time on the history of commercials and how they changed over time.","Jan. 11, 1964",1 sound tape reel (ca. 46.30 min.) : 7 in.,"46 minutes, 43 seconds",WAV,The Chicago History Museum,English,,1964-01-11,1964.0,1.0,11.0,True,mp3/11142.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/11142.mp3
x,2021-01-13,4,/programs/david-mamet-discusses-his-play-glengarry-glen-ross,David Mamet discusses his play Glengarry Glen Ross,https://s3.amazonaws.com/wfmt-studs-terkel/published/10766.mp3,David Mamet discusses his play Glengarry Glen Ross.  Includes two scenes from the play recited by both David Mamet and Studs Terkel.,"Jan. 13, 1984",1 sound tape reel (ca. 44.51 min.) : 10 1/2 in.,"45 minutes, 23 seconds",WAV,The Chicago History Museum,English,,1984-01-13,1984.0,1.0,13.0,True,mp3/10766.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/10766.mp3
x,2021-01-16,7,/programs/mike-royko-and-herman-kogan-talk-studs-terkel,Mike Royko and Herman Kogan talk with Studs Terkel,https://s3.amazonaws.com/wfmt-studs-terkel/published/10125.mp3,"Discussing Studs' book ""Division Street: America"" published by Pantheon officially available January 16, 1967 and being interviewed by Herman Kogan and author-journalist Mike Royko.","Jan. 16, 1967",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"54 minutes, 30 seconds",WAV,The Chicago History Museum,English,,1967-01-16,1967.0,1.0,16.0,True,mp3/10125.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/10125.mp3
