feed_date,feed_weekday,archive_url
2020-12-12,7,/programs/interviewing-shel-silverstein
2020-12-13,1,
2020-12-14,2,
2020-12-15,3,
2020-12-16,4,
2020-12-17,5,/programs/dick-gregory-discusses-american-politics
2020-12-18,6,
2020-12-19,7,/programs/teacher-vivian-cadbury-and-lane-technical-high-school-students-read-and-discuss-cadbury
2020-12-20,1,
2020-12-21,2,/programs/studs-terkel-sits-down-sandra-cisneros-discuss-her-new-book-poetry
2020-12-22,3,
2020-12-23,4,
2020-12-24,5,
2020-12-25,6,
2020-12-26,7,
2020-12-27,1,/programs/milton-mayer-discusses-quakerism-and-impact-they-have-had-society
2020-12-28,2,
2020-12-29,3,
2020-12-30,4,
2020-12-31,5,/programs/saul-alinsky-american-community-organizer-political-activist-and-writer-discusses-his-book
2021-01-01,6,/programs/panel-women-recipients-discuss-being-welfare-recipients-chicago
2021-01-02,7,
2021-01-03,1,/programs/gwendolyn-brooks-discusses-her-poetry
2021-01-04,2,
2021-01-05,3,
2021-01-06,4,/programs/harry-belafonte-discusses-jazz-and-folk-music
2021-01-07,5,
2021-01-08,6,
2021-01-09,7,/programs/discussing-documentary-film-shoah-director-claude-lanzmann
2021-01-10,1,
2021-01-11,2,/programs/newton-minow-discusses-broadcasting
2021-01-12,3,
2021-01-13,4,/programs/david-mamet-discusses-his-play-glengarry-glen-ross
2021-01-14,5,
2021-01-15,6,
2021-01-16,7,/programs/mike-royko-and-herman-kogan-talk-studs-terkel
2021-01-17,1,
2021-01-18,2,
2021-01-19,3,/programs/noam-chomsky-discusses-his-book-american-power-and-new-mandarins
2021-01-20,4,
2021-01-21,5,
2021-01-22,6,/programs/discussing-book-story-jane-legendary-feminist-abortion-service-author-and-former-member
2021-01-23,7,
2021-01-24,1,
2021-01-25,2,/programs/terkel-comments-and-presents-musical-performance-buck-clayton
2021-01-26,3,
2021-01-27,4,/programs/arthur-charles-clarke-discusses-science-fiction
2021-01-28,5,
